window,hashtag,score,mentions,reach,sentiment,rows_count
2024-05-28,#5G,0.0,1622142,7116575,-0.10187500000000001,16
2024-05-28,#AI,0.0,1098011,4988007,-0.4183333333333333,12
2024-05-28,#AIArt,0.0,475886,1563776,-0.28,9
2024-05-28,#Adventure,0.0,1680314,5132336,0.11333333333333334,18
2024-05-28,#Analytics,0.0,2181972,9049724,-0.00777777777777776,18
2024-05-28,#Art,0.0,1375902,5718200,0.19375,16
2024-05-28,#BigData,0.0,953598,3243494,-0.33555555555555555,9
2024-05-28,#Blockchain,0.0,1961674,8172972,-0.05947368421052631,19
2024-05-28,#Books,0.0,1265774,5298145,-0.05533333333333334,15
2024-05-28,#BreakingNews,0.0,1346481,4494483,0.049999999999999996,13
2024-05-29,#Entrepreneur,31.305325076410487,1822493,6549692,-0.11611111111111111,18
2024-05-29,#AIArt,28.192808509350616,1257923,5453197,0.10600000000000002,15
2024-05-29,#History,24.18220183275765,1275834,5274936,0.08600000000000001,15
2024-05-29,#MusicMonday,20.477040936947503,1700573,5719455,0.23384615384615384,13
2024-05-29,#FoodPorn,18.73405594964955,2033439,8232393,0.16647058823529412,17
2024-05-29,#Robotics,15.551563991009587,1944722,7345351,0.039411764705882354,17
2024-05-29,#ViralVideo,15.455788618904874,2344106,7607507,-0.1595,20
2024-05-29,#NFT,14.928436412415495,1061069,4122580,-0.24249999999999997,12
2024-05-29,#Hiking,14.349015977263258,1784487,6099610,-0.24800000000000003,15
2024-05-29,#Cloud,13.14371574601239,922676,3914222,0.233,10
2024-05-30,#Health,40.96972171057117,1846062,6570759,0.3561111111111111,18
2024-05-30,#DataScience,28.853711245947025,2286411,9104485,0.10652173913043479,23
2024-05-30,#FitnessGoals,17.76882131752178,1853251,7217086,0.051176470588235295,17
2024-05-30,#EcoFriendly,17.317933363766816,1782696,6723472,0.37866666666666665,15
2024-05-30,#WorldCup,14.516799862144008,1510864,5869812,-0.18923076923076923,13
2024-05-30,#Cloud,13.385227235496984,1740889,6482681,-0.037647058823529415,17
2024-05-30,#Crypto,13.38178685293583,2236713,8710800,-0.134375,16
2024-05-30,#Elections2025,12.616987348141135,1886398,6374245,0.038823529411764715,17
2024-05-30,#Science,12.362641642378216,2021060,6735188,-0.22588235294117645,17
2024-05-30,#Business,11.740704395340371,1976609,7982216,0.03588235294117647,17
